Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,class_complexity,file_complexity,comment_lines_density,bugs
0,32352,0,392,10002,362999,47834,30009,10195,28999,5375,311,55468,None,15.1,13.3,131
0,3004,0,350,475,14603,2780,3473,440,1106,116,6,2356,None,11.6,13.9,4
0,9,0,1,50,683,125,132,6,47,0,0,72,None,5.4,9.5,0
0,27,0,1,71,516,87,26,17,64,0,0,13,None,2.2,2.5,2
12,11,0,1,11,83,16,17,0,4,0,0,3,None,5.3,3.5,0
0,12,0,1,52080,718,84,146,4,36,82,2,349,None,28,32.7,0
0,31,1,1,19,462,124,161,6,43,0,0,66,None,13.8,12.5,0
0,299,0,19,135,7870,730,426,50,457,283,20,2622,None,16.2,25,6
0,11,0,1,7,217,36,35,0,1,0,0,2,None,36,0.9,0
0,162,0,25,31,21,5,4,1,2,0,0,0,None,5,0,0
0,9,0,1,7,90,0,0,0,0,0,0,14,None,0,13.5,0
1,17,0,1,21,216,19,7,2,13,0,0,26,None,2.4,10.7,0
1,159,0,1,110,1171,106,95,14,43,85,2,171,None,17.7,12.7,18
0,17,1,1,105,1529,284,62,93,238,0,0,0,None,4.5,0,9
0,493,0,12,149,18655,2126,2387,113,716,194,6,1243,None,51.9,6.2,32
3,7,0,0,8,81,22,0,0,22,0,0,104,None,7.3,56.2,0
1,14,0,1,312,19088,546,461,58,215,0,0,985,None,6.3,4.9,6
0,3,0,1,2,18,3,5,0,0,0,0,20,None,3,52.6,0
0,122,10,1,122,751,109,32,40,89,0,0,4,None,1.9,0.5,2
0,10,0,1,14,136,10,3,2,7,0,0,15,None,2.5,9.9,0
2,14,0,2,42,506,74,25,9,54,0,0,113,None,3,18.3,0
0,331,0,4,83,5329,891,1758,0,446,1335,166,2017,None,13.5,27.5,1
0,16,0,1,49,401,41,37,4,18,0,0,96,None,2.6,19.3,0
0,462,1,18,1342,145150,26152,26035,786,7295,29971,367,25827,None,38.6,15.1,326
