Forks,Commits,Open Issues,Contributors,Files,ncloc,complexity,cognitive_complexity,classes,functions,duplicated_lines,duplicated_blocks,comment_lines,file_complexity,comment_lines_density,bugs
0,32352,0,392,10002,362999.0,47834.0,30009.0,10195.0,28999.0,5375,311,55468.0,15.1,13.3,131
0,3004,0,350,475,14603.0,2780.0,3473.0,440.0,1106.0,116,6,2356.0,11.6,13.9,4
0,9,0,1,50,683.0,125.0,132.0,6.0,47.0,0,0,72.0,5.4,9.5,0
0,27,0,1,71,516.0,87.0,26.0,17.0,64.0,0,0,13.0,2.2,2.5,2
12,11,0,1,11,83.0,16.0,17.0,0.0,4.0,0,0,3.0,5.3,3.5,0
0,12,0,1,52080,718.0,84.0,146.0,4.0,36.0,82,2,349.0,28.0,32.7,0
0,31,1,1,19,462.0,124.0,161.0,6.0,43.0,0,0,66.0,13.8,12.5,0
0,299,0,19,135,7870.0,730.0,426.0,50.0,457.0,283,20,2622.0,16.2,25.0,6
0,11,0,1,7,217.0,36.0,35.0,0.0,1.0,0,0,2.0,36.0,0.9,0
0,162,0,25,31,21.0,5.0,4.0,1.0,2.0,0,0,0.0,5.0,0.0,0
0,9,0,1,7,90.0,0.0,0.0,0.0,0.0,0,0,14.0,0.0,13.5,0
1,17,0,1,21,216.0,19.0,7.0,2.0,13.0,0,0,26.0,2.4,10.7,0
1,159,0,1,110,1171.0,106.0,95.0,14.0,43.0,85,2,171.0,17.7,12.7,18
0,17,1,1,105,1529.0,284.0,62.0,93.0,238.0,0,0,0.0,4.5,0.0,9
0,493,0,12,149,18655.0,2126.0,2387.0,113.0,716.0,194,6,1243.0,51.9,6.2,32
3,7,0,0,8,81.0,22.0,0.0,0.0,22.0,0,0,104.0,7.3,56.2,0
1,14,0,1,312,19088.0,546.0,461.0,58.0,215.0,0,0,985.0,6.3,4.9,6
0,3,0,1,2,18.0,3.0,5.0,0.0,0.0,0,0,20.0,3.0,52.6,0
0,122,10,1,122,751.0,109.0,32.0,40.0,89.0,0,0,4.0,1.9,0.5,2
0,10,0,1,14,136.0,10.0,3.0,2.0,7.0,0,0,15.0,2.5,9.9,0
2,14,0,2,42,506.0,74.0,25.0,9.0,54.0,0,0,113.0,3.0,18.3,0
0,331,0,4,83,5329.0,891.0,1758.0,0.0,446.0,1335,166,2017.0,13.5,27.5,1
0,16,0,1,49,401.0,41.0,37.0,4.0,18.0,0,0,96.0,2.6,19.3,0
0,462,1,18,1342,145150.0,26152.0,26035.0,786.0,7295.0,29971,367,25827.0,38.6,15.1,326
1,8,0,1,9,61.0,10.0,26.0,0.0,1.0,0,0,14.0,10.0,18.7,0
0,134,2,1,35,1359.0,246.0,175.0,27.0,120.0,82,4,300.0,17.6,18.1,0
0,15,1,0,75,2213.0,49.0,47.0,29.0,23.0,94,9,71.0,1.7,3.1,26
0,1055,0,2,736,49835.0,7087.0,4116.0,494.0,2513.0,14373,2715,4017.0,16.5,7.5,111
0,13,0,1,53,2682.0,241.0,212.0,22.0,90.0,791,50,351.0,8.3,11.6,4
0,6,0,1,8,244.0,49.0,80.0,0.0,16.0,0,0,57.0,16.3,18.9,0
0,19,0,1,13,340.0,46.0,27.0,6.0,30.0,0,0,24.0,5.8,6.6,0
0,2846,0,64,772,22325.0,3759.0,630.0,183.0,3007.0,467,25,2145.0,9.9,8.8,39
0,131,0,6,124,3094.0,342.0,234.0,90.0,158.0,57,2,345.0,4.8,10.0,2
0,4,0,1,20,34.0,3.0,3.0,0.0,2.0,0,0,0.0,1.5,0.0,0
0,57,0,4,10,236.0,50.0,63.0,6.0,21.0,0,0,76.0,12.5,24.4,1
0,8,0,2,15,221.0,12.0,12.0,4.0,10.0,208,4,68.0,3.0,23.5,0
0,3,0,1,2,35.0,9.0,8.0,0.0,5.0,0,0,0.0,9.0,0.0,0
0,32,0,4,22,201.0,31.0,13.0,3.0,27.0,0,0,98.0,2.2,32.8,0
0,2,0,1,14,105.0,19.0,14.0,8.0,13.0,0,0,0.0,3.2,0.0,0
0,8,0,1,18,205.0,22.0,24.0,0.0,10.0,0,0,45.0,2.4,18.0,0
